fid,commune,prefecture,region,pop_2022,agents_total,fin_total,fin_bancaire,superficie_km2,hab_par_agent,agents_pour_1000hab,hab_par_point_fin,mm_seul
communes.E04109,Oti 1,Oti,Savanes,54479.0,208,7,7,561.1,261.9182692307692,3.8179849116173203,7782.714285714285,False
communes.E04110,Oti 2,Oti,Savanes,70369.0,160,4,4,1126.6,439.80625,2.2737284883968796,17592.25,False
communes.E07116,Tône 4,Tône,Savanes,66577.0,174,0,0,323.0,382.6264367816092,2.613515177914295,,True
communes.A05020,Lacs 3,Lacs,Maritime,108176.0,443,6,6,79.5,244.18961625282168,4.09517822807277,18029.333333333332,False
communes.E05107,Oti-Sud 1,Oti-Sud,Savanes,106052.0,120,4,4,1534.2,883.7666666666667,1.1315203862256251,26513.0,False
communes.B07049,Haho 3,Haho,Plateaux,58695.0,118,0,0,540.2,497.41525423728814,2.0103927080671267,,True
communes.A04013,Golfe 3,Golfe,Maritime,52769.0,281,35,22,22.8,187.7900355871886,5.325096173889973,1507.6857142857143,False
communes.A04012,Golfe 2,Golfe,Maritime,136153.0,454,9,9,17.7,299.8964757709251,3.334483999618077,15128.111111111111,False
communes.E05108,Oti-Sud 2,Oti-Sud,Savanes,44324.0,39,1,1,1073.7,1136.5128205128206,0.8798844869596607,44324.0,False
communes.E06111,Tandjoaré 1,Tandjoaré,Savanes,74692.0,66,4,4,407.5,1131.6969696969697,0.8836287688105822,18673.0,False
communes.E06112,Tandjoaré 2,Tandjoaré,Savanes,64175.0,93,4,4,554.7,690.0537634408602,1.4491624464355277,16043.75,False
communes.E07113,Tône 1,Tône,Savanes,211743.0,944,15,15,529.1,224.3040254237288,4.458234746839328,14116.2,False
communes.E07114,Tône 2,Tône,Savanes,50179.0,76,0,0,217.7,660.25,1.5145778114350623,,True
communes.E07115,Tône 3,Tône,Savanes,60276.0,83,1,1,243.3,726.2168674698795,1.3769991373017454,60276.0,False
communes.A04011,Golfe 1,Golfe,Maritime,351550.0,1256,57,50,59.9,279.89649681528664,3.572749253306784,6167.543859649123,False
