indicateur,annee,valeur
GVA,2015,0.0
GVA,2016,0.0
GVA,2017,0.0
GVA,2018,1180.0
GVA,2019,5945.0
Taux de pénétration Internet (Toutes technologies) (%),2013,5.24
Taux de pénétration Internet (Toutes technologies) (%),2014,8.95
Taux de pénétration Internet (Toutes technologies) (%),2015,12.94
Taux de pénétration Internet (Toutes technologies) (%),2016,21.98
Taux de pénétration Internet (Toutes technologies) (%),2017,36.31
Taux de pénétration Internet (Toutes technologies) (%),2018,49.55
Taux de pénétration Internet (Toutes technologies) (%),2019,44.79
Taux de pénétration Internet haut débit (%),2013,2.43
Taux de pénétration Internet haut débit (%),2014,3.75
Taux de pénétration Internet haut débit (%),2015,7.14
Taux de pénétration Internet haut débit (%),2016,20.81
Taux de pénétration Internet haut débit (%),2017,28.25
Taux de pénétration Internet haut débit (%),2018,34.26
Taux de pénétration Internet haut débit (%),2019,27.34
