region,prefecture,commune,nom,categorie,statut,en_service,lon,lat
Centrale,Tchaoudjo,Tchaoudjo 1,CMECF Sokode,Micro-Finance,Utilisé,True,1.13727,8.98749
Centrale,Tchaoudjo,Tchaoudjo 1,COOPEC ADESEM Sokodé,Micro-Finance,Utilisé,True,1.13462,8.98726
Maritime,Golfe,Golfe 4,ORABANK Nyékonakpoè,Banque,Néant,True,1.21372,6.13009
Centrale,Tchaoudjo,Tchaoudjo 1,SUNU Bank Sokodé,Banque,Utilisé,True,1.13629,8.97384
Centrale,Sotouboua,Sotouboua 1,SUNU Bank Sotouboua,Banque,Utilisé,True,0.97894,8.56456
Centrale,Sotouboua,Sotouboua 1,UTB de Sotouboua,Banque,Utilisé,True,0.97621,8.56132
Maritime,Golfe,Golfe 6,COOPEC AD Avepozo,Micro-Finance,Utilisé,True,1.35085,6.17148
Centrale,Sotouboua,Sotouboua 1,ORABANK de Sotouboua,Banque,Utilisé,True,0.97517,8.56078
Maritime,Golfe,Golfe 5,Banque Atlantique Adidoadin,Banque,Utilisé,True,1.18821,6.1998
Maritime,Golfe,Golfe 7,COOPEC AD Adidogome Madiba,Micro-Finance,Utilisé,True,1.14821,6.20031
Centrale,Sotouboua,Sotouboua 1,WAGES M'heza de Sotouboua,Micro-Finance,Utilisé,True,0.97953,8.56585
Centrale,Sotouboua,Sotouboua 1,FUCEC Togo de Sotouboua,Micro-Finance,Utilisé,True,0.98399,8.56113
Centrale,Sotouboua,Sotouboua 1,URCLEC de Sotouboua,Micro-Finance,Utilisé,True,0.98331,8.56172
Centrale,Sotouboua,Sotouboua 1,Mutuelle Tibi de Sotouboua,Micro-Finance,Utilisé,True,0.97451,8.56185
Centrale,Tchaoudjo,Tchaoudjo 1,UTB Sokodé,Banque,Utilisé,True,1.13975,8.98425
Centrale,Sotouboua,Sotouboua 1,CMECF Sotouboua,Micro-Finance,Utilisé,True,0.98121,8.56326
Centrale,Sotouboua,Sotouboua 1,CECO COOP de Sotouboua,Micro-Finance,Utilisé,True,0.97027,8.55591
Centrale,Sotouboua,Sotouboua 2,FUCEC Togo Adjengre,Micro-Finance,Utilisé,True,1.01798,8.66349
Centrale,Sotouboua,Sotouboua 3,CMECF-sotouboua,Micro-Finance,Utilisé,True,0.99136,8.43023
Centrale,Sotouboua,Sotouboua 1,Club Entraide Sans Frontière Microfinance,Micro-Finance,Utilisé,True,0.97629,8.56086
Centrale,Sotouboua,Sotouboua 2,COOPEC ADESEM de ADjengre,Micro-Finance,Utilisé,True,1.02024,8.66936
Centrale,Sotouboua,Sotouboua 2,Caisse Mutuelle d'épargne et de Crédit Pour Les Femmes du Togo de ADjengre,Micro-Finance,Utilisé,True,1.0197,8.65841
Centrale,Sotouboua,Sotouboua 3,COOPEC ADESEM Agence de Tchébébé,Micro-Finance,Utilisé,True,0.99554,8.43372
Centrale,Sotouboua,Sotouboua 3,FUCEC Togo Enente de Tchebebe,Micro-Finance,Utilisé,True,0.99139,8.43464
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Aliada Agoe,Micro-Finance,Utilisé,True,1.19714,6.23267
Centrale,Tchaoudjo,Tchaoudjo 1,SPT Kpangalam,Banque,Utilisé,True,1.13619,9.00954
Centrale,Blitta,Blitta 1,URCLEC Lamakaza,Micro-Finance,Utilisé,True,0.98663,8.32863
Centrale,Blitta,Blitta 1,FUCEC Togo Blitta zongo,Micro-Finance,Utilisé,True,0.97768,8.32652
Centrale,Blitta,Blitta 1,SPT Pagala Gare,Banque,Utilisé,True,0.96497,8.1839
Centrale,Blitta,Blitta 1,UTB Lamakaza,Banque,Utilisé,True,0.98621,8.33103
Centrale,Blitta,Blitta 2,FUCEC Togo Bagbo,Micro-Finance,Utilisé,True,1.13357,8.23094
Centrale,Blitta,Blitta 1,Micro Finance URCLEC de Pagala Gare,Micro-Finance,Utilisé,True,0.96522,8.1837
Centrale,Blitta,Blitta 1,UCMEF de Pagala Gare,Micro-Finance,Utilisé,True,0.97145,8.18031
Centrale,Sotouboua,Sotouboua 1,SPT Sotouboua,Banque,Utilisé,True,0.97758,8.56437
Maritime,Golfe,Golfe 1,BIA Togo de Be Apeyeyeme,Banque,Néant,True,1.24034,6.14095
Centrale,Sotouboua,Sotouboua 2,SPT ADjengre,Banque,Utilisé,True,1.01905,8.65936
Centrale,Tchamba,Tchamba 1,Finance-centralespt-tchamba,Micro-Finance,Utilisé,True,1.41776,9.02061
Centrale,Tchamba,Tchamba 3,Finance Centrale Spt-kaboli,Micro-Finance,Utilisé,True,1.59597,8.74811
Centrale,Blitta,Blitta 1,STP Blitta,Banque,Utilisé,True,0.97823,8.32469
